"Scaffold"	"Start"	"End"	"Prop_TEs"
"Ca_s1__1"	1	100000	0.41876
"Ca_s1__1"	100001	200000	0.29785
"Ca_s1__1"	200001	300000	0.27777
"Ca_s1__1"	300001	400000	0.27662
"Ca_s1__1"	400001	500000	0.23574
"Ca_s1__1"	500001	600000	0.21814
"Ca_s1__1"	600001	700000	0.22222
"Ca_s1__1"	700001	800000	0.3405
"Ca_s1__1"	800001	900000	0.2973
"Ca_s1__1"	900001	1000000	0.29896
"Ca_s1__1"	1000001	1100000	0.35536
"Ca_s1__1"	1100001	1200000	0.22175
"Ca_s1__1"	1200001	1300000	0.28294
"Ca_s1__1"	1300001	1400000	0.2852
"Ca_s1__1"	1400001	1500000	0.32316
"Ca_s1__1"	1500001	1600000	0.31463
"Ca_s1__1"	1600001	1700000	0.32813
"Ca_s1__1"	1700001	1800000	0.39229
"Ca_s1__1"	1800001	1900000	0.35621
"Ca_s1__1"	1900001	2000000	0.38105
"Ca_s1__1"	2000001	2100000	0.29922
"Ca_s1__1"	2100001	2200000	0.21906
"Ca_s1__1"	2200001	2300000	0.27048
"Ca_s1__1"	2300001	2400000	0.28704
"Ca_s1__1"	2400001	2500000	0.33291
"Ca_s1__1"	2500001	2600000	0.19478
"Ca_s1__1"	2600001	2700000	0.14767
"Ca_s1__1"	2700001	2800000	0.15253
"Ca_s1__1"	2800001	2900000	0.22315
"Ca_s1__1"	2900001	3000000	0.30167
"Ca_s1__1"	3000001	3100000	0.24877
"Ca_s1__1"	3100001	3200000	0.09074
"Ca_s1__1"	3200001	3300000	0.1288
"Ca_s1__1"	3300001	3400000	0.12114
"Ca_s1__1"	3400001	3500000	0.24347
"Ca_s1__1"	3500001	3600000	0.21844
"Ca_s1__1"	3600001	3700000	0.30346
"Ca_s1__1"	3700001	3800000	0.12921
"Ca_s1__1"	3800001	3900000	0.19616
"Ca_s1__1"	3900001	4000000	0.21353
"Ca_s1__1"	4000001	4100000	0.12423
"Ca_s1__1"	4100001	4200000	0.30779
"Ca_s1__1"	4200001	4300000	0.2469
"Ca_s1__1"	4300001	4400000	0.21883
"Ca_s1__1"	4400001	4500000	0.26208
"Ca_s1__1"	4500001	4600000	0.34788
"Ca_s1__1"	4600001	4700000	0.18577
"Ca_s1__1"	4700001	4800000	0.27449
"Ca_s1__1"	4800001	4900000	0.22416
"Ca_s1__1"	4900001	5000000	0.21931
"Ca_s1__1"	5000001	5100000	0.14766
"Ca_s1__1"	5100001	5200000	0.24961
"Ca_s1__1"	5200001	5300000	0.15812
"Ca_s1__1"	5300001	5400000	0.26937
"Ca_s1__1"	5400001	5500000	0.33515
"Ca_s1__1"	5500001	5600000	0.30515
"Ca_s1__1"	5600001	5700000	0.27923
"Ca_s1__1"	5700001	5800000	0.25544
"Ca_s1__1"	5800001	5900000	0.19521
"Ca_s1__1"	5900001	6000000	0.26658
"Ca_s1__1"	6000001	6100000	0.33925
"Ca_s1__1"	6100001	6200000	0.24598
"Ca_s1__1"	6200001	6300000	0.251
"Ca_s1__1"	6300001	6400000	0.29593
"Ca_s1__1"	6400001	6500000	0.24316
"Ca_s1__1"	6500001	6600000	0.25068
"Ca_s1__1"	6600001	6700000	0.17182
"Ca_s1__1"	6700001	6800000	0.20752
"Ca_s1__1"	6800001	6900000	0.23112
"Ca_s1__1"	6900001	7000000	0.15199
"Ca_s1__1"	7000001	7100000	0.16436
"Ca_s1__1"	7100001	7200000	0.16366
"Ca_s1__1"	7200001	7300000	0.24733
"Ca_s1__1"	7300001	7400000	0.16864
"Ca_s1__1"	7400001	7500000	0.12008
"Ca_s1__1"	7500001	7600000	0.30012
"Ca_s1__1"	7600001	7700000	0.24476
"Ca_s1__1"	7700001	7800000	0.24029
"Ca_s1__1"	7800001	7900000	0.16068
"Ca_s1__1"	7900001	8000000	0.20742
"Ca_s1__1"	8000001	8100000	0.16602
"Ca_s1__1"	8100001	8200000	0.12648
"Ca_s1__1"	8200001	8300000	0.16873
"Ca_s1__1"	8300001	8400000	0.13944
"Ca_s1__1"	8400001	8500000	0.16631
"Ca_s1__1"	8500001	8600000	0.23221
"Ca_s1__1"	8600001	8700000	0.28575
"Ca_s1__1"	8700001	8800000	0.30764
"Ca_s1__1"	8800001	8900000	0.33852
"Ca_s1__1"	8900001	9000000	0.30818
"Ca_s1__1"	9000001	9100000	0.22538
"Ca_s1__1"	9100001	9200000	0.25412
"Ca_s1__1"	9200001	9300000	0.21934
"Ca_s1__1"	9300001	9400000	0.16365
"Ca_s1__1"	9400001	9500000	0.18123
"Ca_s1__1"	9500001	9600000	0.31222
"Ca_s1__1"	9600001	9700000	0.29628
"Ca_s1__1"	9700001	9800000	0.25154
"Ca_s1__1"	9800001	9900000	0.26537
"Ca_s1__1"	9900001	10000000	0.21816
"Ca_s1__1"	10000001	10100000	0.16671
"Ca_s1__1"	10100001	10200000	0.13739
"Ca_s1__1"	10200001	10300000	0.10051
"Ca_s1__1"	10300001	10400000	0.20828
"Ca_s1__1"	10400001	10500000	0.18142
"Ca_s1__1"	10500001	10600000	0.22747
"Ca_s1__1"	10600001	10700000	0.12108
