"Scaffold"	"Start"	"End"	"Prop_CDS"
"Ca_s1__1"	1	100000	0.01822
"Ca_s1__1"	100001	200000	0.02486
"Ca_s1__1"	200001	300000	0.00719
"Ca_s1__1"	300001	400000	0.01536
"Ca_s1__1"	400001	500000	0.02688
"Ca_s1__1"	500001	600000	0.09154
"Ca_s1__1"	600001	700000	0.09915
"Ca_s1__1"	700001	800000	0.01449
"Ca_s1__1"	800001	900000	0
"Ca_s1__1"	900001	1000000	0
"Ca_s1__1"	1000001	1100000	0.00448
"Ca_s1__1"	1100001	1200000	0.04976
"Ca_s1__1"	1200001	1300000	0.00135
"Ca_s1__1"	1300001	1400000	0.01574
"Ca_s1__1"	1400001	1500000	0.00743
"Ca_s1__1"	1500001	1600000	0
"Ca_s1__1"	1600001	1700000	0.00478
"Ca_s1__1"	1700001	1800000	0
"Ca_s1__1"	1800001	1900000	0
"Ca_s1__1"	1900001	2000000	0
"Ca_s1__1"	2000001	2100000	0.02655
"Ca_s1__1"	2100001	2200000	0.01909
"Ca_s1__1"	2200001	2300000	0.02394
"Ca_s1__1"	2300001	2400000	0
"Ca_s1__1"	2400001	2500000	0
"Ca_s1__1"	2500001	2600000	0.09518
"Ca_s1__1"	2600001	2700000	0.0136
"Ca_s1__1"	2700001	2800000	0.03007
"Ca_s1__1"	2800001	2900000	0.03
"Ca_s1__1"	2900001	3000000	0.01186
"Ca_s1__1"	3000001	3100000	0.04159
"Ca_s1__1"	3100001	3200000	0.03979
"Ca_s1__1"	3200001	3300000	0.031
"Ca_s1__1"	3300001	3400000	0.03821
"Ca_s1__1"	3400001	3500000	0
"Ca_s1__1"	3500001	3600000	0.02517
"Ca_s1__1"	3600001	3700000	0.01315
"Ca_s1__1"	3700001	3800000	0.02816
"Ca_s1__1"	3800001	3900000	0
"Ca_s1__1"	3900001	4000000	0
"Ca_s1__1"	4000001	4100000	0.0041
"Ca_s1__1"	4100001	4200000	0
"Ca_s1__1"	4200001	4300000	0
"Ca_s1__1"	4300001	4400000	0
"Ca_s1__1"	4400001	4500000	0
"Ca_s1__1"	4500001	4600000	0
"Ca_s1__1"	4600001	4700000	0
"Ca_s1__1"	4700001	4800000	0.02496
"Ca_s1__1"	4800001	4900000	0
"Ca_s1__1"	4900001	5000000	0.01291
"Ca_s1__1"	5000001	5100000	0
"Ca_s1__1"	5100001	5200000	0
"Ca_s1__1"	5200001	5300000	0
"Ca_s1__1"	5300001	5400000	0.00464
"Ca_s1__1"	5400001	5500000	0
"Ca_s1__1"	5500001	5600000	0.0027
"Ca_s1__1"	5600001	5700000	0.01937
"Ca_s1__1"	5700001	5800000	0.00278
"Ca_s1__1"	5800001	5900000	0.01801
"Ca_s1__1"	5900001	6000000	0
"Ca_s1__1"	6000001	6100000	0
"Ca_s1__1"	6100001	6200000	0
"Ca_s1__1"	6200001	6300000	0.14072
"Ca_s1__1"	6300001	6400000	0.00327
"Ca_s1__1"	6400001	6500000	0.00815
"Ca_s1__1"	6500001	6600000	0.02754
"Ca_s1__1"	6600001	6700000	0.04054
"Ca_s1__1"	6700001	6800000	0
"Ca_s1__1"	6800001	6900000	0.0187
"Ca_s1__1"	6900001	7000000	0.02358
"Ca_s1__1"	7000001	7100000	0.0086
"Ca_s1__1"	7100001	7200000	0
"Ca_s1__1"	7200001	7300000	0.0097
"Ca_s1__1"	7300001	7400000	0.03377
"Ca_s1__1"	7400001	7500000	0.01476
"Ca_s1__1"	7500001	7600000	0.0019
"Ca_s1__1"	7600001	7700000	0.01892
"Ca_s1__1"	7700001	7800000	0
"Ca_s1__1"	7800001	7900000	0.02373
"Ca_s1__1"	7900001	8000000	0.01318
"Ca_s1__1"	8000001	8100000	0.01753
"Ca_s1__1"	8100001	8200000	0.01602
"Ca_s1__1"	8200001	8300000	0.0209
"Ca_s1__1"	8300001	8400000	0.04503
"Ca_s1__1"	8400001	8500000	0.01493
"Ca_s1__1"	8500001	8600000	0.01575
"Ca_s1__1"	8600001	8700000	0
"Ca_s1__1"	8700001	8800000	0.02587
"Ca_s1__1"	8800001	8900000	0
"Ca_s1__1"	8900001	9000000	0.00958
"Ca_s1__1"	9000001	9100000	0.02782
"Ca_s1__1"	9100001	9200000	0.00225
"Ca_s1__1"	9200001	9300000	0
"Ca_s1__1"	9300001	9400000	0.01524
"Ca_s1__1"	9400001	9500000	0.00504
"Ca_s1__1"	9500001	9600000	0.03454
"Ca_s1__1"	9600001	9700000	0.02608
"Ca_s1__1"	9700001	9800000	0.01444
"Ca_s1__1"	9800001	9900000	0
"Ca_s1__1"	9900001	10000000	0
"Ca_s1__1"	10000001	10100000	0.00278
"Ca_s1__1"	10100001	10200000	0.07194
